M001,"A-1 GARMENT CO.,","18/BO TAY ZA ST, SHWE PAUKKAN, N/OKKALAPA."
M002,"AMG FACTORY CO.,","PLOT NO. 448, SEIKKAN THAR STREET, SHWE LIN BAN INDUSTRIAL ZONE, HLAING THARYAR TSP, YANGON."
M003,ANITA ASIA,"137 B/ THUDAMA MAIN RD, N/OKKALAPA."
M004,"APT LAND GMT MFG CO.,","42/ KANAUNG MINTHARGYI ST, SHWE PYI THAR I.Z."
M005,"ASIA DRAGON GERMENT MFG. CO.,","NO1, KANAUNG MINTHARGYI STREET., INDUSTRIAL ZONE(1), DAGON SEIKKAN TSP, YANGON. ."
M006,"ASIA ROSE MFG.,CO.,","81/ DEPEYIN WUN U MYAI & PYINSI MTG ST,I.Z(4),HLAING THARYAR."
M007,"ASIAN GARMENT IND.,","131, YANGON INDUSTRIAL PARK, MINGALARDON TSP."
M008,"ASIAN JUST CO.,","150/151, TWIN THIN TAIK WUN U TUN NYO ST, I.Z(3), SHWE PYI THAR"
M009,"ATELIER E & M INT'L CO.,","NO.(7), KANAUNG MINTHARGYI STREET, SHWE PAUKKAN INDUSTRIAL ZONE, NORTH OKKALAPA TSP, YANGON."
M010,"B & N GARMENT (MYANMAR) CO.,","NO.(14), DAW PHWAR SHIN STREET, INDUSTRIAL ZONE (2), SHWE PYI TAR TSP,"
M011,"BAWGA MANDAING MFG. CO.,","201, KANAUNGMINTHARGYI ST, I.Z(1) W(42), SHWE PYITHAR."
M012,"BEST INDUSTRIAL CO.,","42/107(A), KHAYAE ST, I.Z(1), SHWE PYITHAR. GMAIL.COM,"
M013,"BEST MAKER CO.,",NO.177 PALBAKAUNG MG HTET ST. Z.1 HLAINGTHARYAR T/S.
M014,"BLESSING INTERTRADE CO.,",NO.116 A/B 10 ST. Z-1 SHWE PYI THAR
M015,BOGART LINGERIE (YANGON),"PLOT NO.(149,150), U TAYOKE STREET, INDUSTRIAL ZONE(4), HLAING THARYAR TSP, YANGON."
M016,"BRAVO INTERNATIONAL MFG CO.,","19/2/52, BOTAYZA ROAD, (KYAUK ROAD), SHWEPAUKKAN, NORTH OKKALAP TSP, YANGON."
M017,"BRIGHT JUAN CO.,","PLOT NO. 494, 495, WARD NO. 23, MOGOKE ST, DAGON MYOTHIT (SOUTH) TSP, YANGON."
M018,"BRIGHT LIGHT GARMENT MFG. CO.,","NO.470, KYAING TON STREET, WARD NO. (23), INDUSTRIAL ZONE(1), SOUTH DAGON MYOTHIT TSP, YANGON."
M019,"CAP-1 MANUFACTURING CO.,","NO.(739). HLAING THARYAR (1)STREET, 31 BLOCK, DAGONMYOTHIT (NORTH). (BAGO)"
M020,"CHAMZON APPAREL MFG., CO.,","NO.33/B, PANTIE WON U SHWE BINN ST, INDUSTRIAL ZONE (1), HLAING THARYAR TSP, YANGON."
M021,"CHARMING GARMENT MFG.,CO.,","38, SEIKKANTHA ST, I.Z(2), HLAINGTHAYAR"
M022,"CHERRY THIN MFG., CO.,","163, MYIN WUN U AUNG THU ST, I.Z(2), HLAING THARYAR."
M023,"CHINDWIN BANNER CO.,","NO(42/103), KANAUNG MINTHARGYI STREET. ZONE -1. SHWEPYITHAR TSP."
